,startoftext,person</w>,person</w>,share</w>,kisses</w>,endoftext
frame_95,180659.2047214508,71290.88044166565,77959.61946249008,181249.7079372406,116132.67660140991,372707.90338516235
frame_96,113127.51471996307,74005.70809841156,101404.45083379745,171768.48649978638,89695.39403915405,449998.4383583069
frame_97,247004.53877449036,76448.68642091751,116023.37658405304,172677.78515815735,162682.47365951538,225163.14685344696
frame_98,238132.73012638092,53633.16088914871,84450.83349943161,199009.2694759369,77458.72437953949,347315.2816295624
frame_99,202122.44987487793,92430.11474609375,104644.26130056381,144165.7841205597,96812.76977062225,359824.5978355408
frame_100,182839.93005752563,96130.8404803276,123358.93511772156,143290.26639461517,93305.96029758453,361074.0602016449
frame_101,166197.59798049927,49585.7298374176,95928.68387699127,119089.60342407227,211125.1950263977,358073.1749534607
frame_102,213088.63162994385,80391.74973964691,100948.0208158493,229574.59092140198,68731.52405023575,307265.4604911804
frame_103,127922.23691940308,70661.97693347931,107194.75150108337,209238.05236816406,192553.66921424866,292429.3279647827
frame_104,117298.69246482849,67628.96478176117,123489.32772874832,157495.00691890717,87122.66385555267,446965.36660194397
frame_105,166982.5166463852,79914.77102041245,153075.2331018448,154625.19228458405,80202.72850990295,365199.5658874512
frame_106,165710.10649204254,73106.22930526733,113883.6145401001,229267.80581474304,153258.3236694336,264773.964881897
frame_107,202404.73747253418,57690.73590636253,99806.39815330505,144035.4287624359,133778.79559993744,362283.9152812958
frame_108,258234.9181175232,67638.3227109909,104442.17175245285,152667.04559326172,136818.5728788376,280198.93169403076
frame_109,275083.4822654724,65641.79062843323,88363.93058300018,147944.65899467468,135447.26371765137,287518.8887119293
frame_110,164768.45741271973,115662.25439310074,130322.08383083344,107762.81356811523,226721.76361083984,254762.58993148804
frame_111,169466.85314178467,125984.83264446259,149908.9002609253,158020.10893821716,131226.7631292343,265392.541885376
frame_112,269936.38277053833,82026.83925628662,84876.76829099655,158429.5928478241,162199.88465309143,242530.4800271988
frame_113,142729.5058965683,95501.75070762634,112116.2474155426,164004.54938411713,128420.53174972534,357227.4148464203
frame_114,250851.69076919556,109446.02638483047,93303.67296934128,149879.97710704803,150238.81196975708,246279.80589866638
frame_115,124480.04633188248,92396.5722322464,84089.34623003006,198095.6196784973,100936.12968921661,400002.27093696594
frame_116,204061.49327754974,105435.69922447205,142945.88565826416,145617.17212200165,127578.04989814758,274361.6998195648
frame_117,139565.3784275055,60551.74022912979,129777.4463891983,136023.8492488861,128774.55353736877,405307.0545196533
frame_118,209366.17255210876,65729.19338941574,144107.848405838,180169.43335533142,129745.61750888824,270881.7422389984
frame_119,221695.30391693115,70173.06983470917,83032.2802066803,239601.92501544952,110651.396214962,274846.04716300964
frame_120,160485.93819141388,98825.94645023346,114017.18854904175,98307.74366855621,162900.9246826172,365462.2435569763
frame_121,164697.3490715027,69560.92268228531,128130.01871109009,241755.1875114441,101826.40701532364,294030.100107193
