,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,startoftext,taiwan</w>,vlog</w>,|</w>,ate</w>,pot</w>,came</w>,staff</w>,followed</w>,asked</w>,follow</w>,instagram</w>,endoftext
frame_10,2435.1696483790874,37139.30770754814,146.94670971948653,1328.1989376991987,5257.631652057171,26957.89746940136,21922.01092839241,2730.165608227253,84168.08396577835,655.4133142344654,663.2052245549858,14838.685281574726,92596.79168462753,25903.116911649704,13329.315930604935,30466.143041849136,42.06126322969794,3079.3086625635624,4171.076696366072,3242.8859267383814,15554.791316390038,5301.435943692923,39.94473809143528,73651.06791257858,5012.557841837406,2402.9009509831667,88.580469309818,115604.57199811935,216.95326722692698,1989.8423925042152,7860.484533011913,99749.63963031769,391.19317079894245,94623.34215641022,35836.22723817825,347.1499658189714,5246.75939232111,7793.791592121124,6154.057569801807,1574.028399772942,12050.089426338673,123310.49144268036,5064.273718744516,2820.885507389903,2039.5552273839712,31.590556318406016,44.02739432407543,71.27801654860377,13.035489246249199,380.1499551627785,147.25276560056955,179.54001668840647,109.98609650414437,69.13874676683918,47.86453791894019,172.74293350055814,109.4079707399942,2825.9451501071453
frame_11,50526.58915519714,949.4948899373412,1014.0166850760579,9853.128343820572,20584.918558597565,7877.216674387455,8457.64484256506,882.9888538457453,103747.02513217926,833.7954059243202,2290.033269673586,2526.255324482918,51714.88597989082,79141.66152477264,656.3144270330667,1036.1135937273502,476.9603838212788,3384.847193956375,2373.408991843462,538.136693648994,17029.33758497238,22466.013208031654,433.67690523155034,38177.58336663246,4276.31288766861,1206.4652983099222,915.135198738426,123439.87822532654,9220.167994499207,3361.9115129113197,7980.873808264732,107460.45410633087,361.8466143961996,100787.23728656769,23438.744246959686,773.1370278634131,4989.69666659832,3353.278385475278,296.4927698485553,10745.342820882797,9532.85675495863,123867.04981327057,8728.70534658432,19426.05897784233,1664.8006858304143,399.652257328853,65.30627433676273,277.76576462201774,69.85609070397913,1437.717117369175,1653.3101443201303,253.86805646121502,550.552736967802,286.1121902242303,68.29131598351523,457.85270049236715,184.6610102802515,1496.5643640607595
frame_12,12562.356889247894,3686.4327266812325,1575.0303864479065,19025.132060050964,15362.248755991459,8589.176461100578,9540.996514260769,1721.5097323060036,109625.65243244171,675.7149240002036,2088.8757426291704,285.87356791831553,74952.28201150894,3812.9366002976894,120.89873780496418,291.65728483349085,1397.077925503254,6426.963023841381,2702.567959204316,2396.6943845152855,74478.35803031921,10453.436523675919,444.3036741577089,88540.17406702042,2195.3165996819735,9083.524346351624,115.59954145923257,107151.72439813614,6929.961033165455,4026.5140123665333,9693.136438727379,69933.7050318718,8527.711033821106,86999.60261583328,1931.456965394318,4733.969457447529,20672.960206866264,4156.682640314102,1362.0522804558277,204.60225641727448,48988.9457821846,120143.74136924744,9247.035719454288,720.4853463917971,17329.88841831684,431.23424984514713,70.60827920213342,405.73376463726163,132.505563669838,2100.0453270971775,4739.687778055668,956.9327812641859,536.1085059121251,283.42826408334076,67.46611325070262,1440.968131646514,491.27580132335424,3439.054824411869
frame_13,6383.935920894146,1921.227085404098,1608.5029346868396,50157.74816274643,4976.742900907993,11373.552493751049,10920.009575784206,992.9509833455086,117564.82720375061,17002.683132886887,311.9810135103762,816.6261832229793,60264.14409279823,49040.01206159592,4123.559687286615,2128.7270355969667,425.2169164828956,34010.72323322296,484.11876196041703,386.08253817074,25757.024064660072,2389.000728726387,282.70442271605134,90763.6284828186,346.72010224312544,462.6147565431893,276.4062082860619,119337.2830748558,2276.6701877117157,16345.737501978874,7432.596758008003,98371.93787097931,538.0390211939812,101918.69735717773,11155.892163515091,280.62224737368524,6619.863677769899,2340.826205909252,196.38215599115938,3030.1837250590324,19472.993910312653,92060.65535545349,9800.04109442234,5176.925100386143,1583.7131068110466,306.9262602366507,77.9480833443813,161.78622900042683,47.08215419668704,313.6941231787205,1612.7272974699736,113.08490502415225,644.5783656090498,242.51319700852036,136.95370580535382,439.2601549625397,152.982072904706,2639.9476919323206
frame_14,17000.989988446236,8386.37538254261,559.9554278887808,6551.698781549931,3865.3460796922445,20613.893866539,13534.225523471832,3329.811617732048,102306.7831993103,1596.0653545334935,309.95867564342916,10217.621922492981,80191.43342971802,49145.79913020134,5480.015184730291,2151.1600352823734,406.2385705765337,14021.59035205841,1022.0221010968089,948.8537907600403,19502.459093928337,5336.91281452775,215.1388325728476,74172.94383049011,5437.32987716794,3779.408521950245,621.6865731403232,118829.43660020828,304.6499041374773,4022.936336696148,9770.149365067482,106583.1407904625,487.6883467659354,102243.60227584839,38266.44644141197,989.8645803332329,2503.2195262610912,16340.089961886406,593.9691327512264,5332.398694008589,2827.8783429414034,113297.79028892517,3974.855877459049,6514.947395771742,10198.427364230156,123.23704140726477,40.35265737911686,243.66186698898673,40.545892261434346,303.9743169210851,1465.5748382210732,164.44706125184894,362.9580605775118,214.18093820102513,65.47675002366304,592.7622551098466,514.001352712512,2081.6363394260406
frame_15,4254.045896232128,6331.875454634428,496.18445336818695,20547.453314065933,20907.912403345108,49257.02139735222,8648.218587040901,2440.6923912465572,102781.57889842987,651.2287654913962,610.3412015363574,2941.703889518976,76652.78017520905,50701.625645160675,1077.4184484034777,623.0688886716962,2150.179585441947,4808.861296623945,3214.8766331374645,467.67242019996047,9406.299330294132,28834.19394493103,47.25992039311677,73402.82946825027,1058.820285834372,5081.612151116133,396.816962165758,120810.70244312286,10532.979853451252,10839.192196726799,4251.461010426283,124376.5652179718,5889.538209885359,41095.804423093796,8837.034925818443,1413.2882934063673,9486.263617873192,3827.588865533471,1887.510996311903,1674.8690977692604,5877.864547073841,120787.45663166046,20929.493010044098,4673.21602627635,8946.267887949944,445.0527485460043,130.82845543976873,838.2771629840136,361.3934386521578,1261.612749658525,1238.2382992655039,388.8496430590749,1278.2872654497623,1202.229061163962,118.37374768219888,1190.032227896154,472.45630412362516,7144.7184309363365
frame_16,10922.499001026154,3332.4151299893856,195.14045561663806,22288.82536292076,21536.88110411167,3628.3177323639393,15333.462506532669,3402.554430067539,88419.5864200592,1144.9074372649193,504.91426372900605,1549.4911931455135,65548.08467626572,26002.930477261543,14078.695327043533,6270.2554278075695,303.073029499501,17737.846821546555,3828.410292044282,5078.398622572422,55826.89121365547,520.6063506193459,105.93309707473963,122964.94096517563,2348.976908251643,846.3144768029451,451.2641462497413,107644.89322900772,9361.219592392445,14823.964796960354,1882.3863938450813,80813.9219880104,11212.016455829144,96908.46502780914,1157.8364064916968,873.771496117115,2645.1894082129,5682.474933564663,2222.30888903141,602.7520867064595,36354.61628437042,107338.41359615326,2666.1884039640427,6570.897530764341,8310.427889227867,190.30488329008222,73.54447734542191,158.50935596972704,16.640986359561794,303.83130069822073,2494.879299774766,132.66075984574854,509.3825748190284,200.28671133331954,55.491906095994636,378.6685992963612,127.72898480761796,4114.7274896502495
frame_17,52285.35085916519,277.97362417913973,3054.948290809989,2649.318892508745,24065.852165222168,39388.16115260124,4669.812507927418,3364.1369082033634,100284.27839279175,740.5607611872256,90.74445551959798,999.5384607464075,14077.569358050823,7825.128734111786,1636.6364434361458,273.90726609155536,675.2480985596776,3036.727197468281,1970.8513282239437,586.5299026481807,20885.474979877472,47854.989767074585,390.7485515810549,60679.74865436554,4092.414863407612,104.95836613699794,2037.8713961690664,110403.67186069489,29625.97832083702,396.0331960115582,4104.109015315771,118021.76386117935,5036.346614360809,33687.759190797806,14585.176482796669,121.26273213652894,845.232920255512,1515.2997802942991,9.807366950553842,228.15816919319332,110328.64451408386,124594.01786327362,35325.45641064644,274.90846696309745,5313.20832669735,67.89526378270239,160.22208728827536,183.04558761883527,751.0909927077591,590.8319726586342,3794.047050178051,365.0293801911175,344.15992558933794,23.977485398063436,154.05546582769603,104.92486035218462,642.4153107218444,401.9878979306668
frame_18,1944.3344790488482,2904.6714771538973,134.42471390590072,29175.814241170883,1158.566097728908,18352.18071937561,11931.540444493294,1026.191981509328,118788.51056098938,971.0534941405058,247.67682771198452,6279.307417571545,120243.77286434174,4526.917356997728,4085.985943675041,1107.875956222415,376.2225969694555,2796.995919197798,1757.6853279024363,830.2894420921803,21136.602386832237,2240.8710792660713,33.79812915227376,94113.64048719406,2226.130571216345,2316.9356863945723,391.5756824426353,107520.74420452118,2855.7186014950275,15812.793746590614,4106.408916413784,122527.94206142426,1114.82385545969,97676.70184373856,25903.664529323578,1133.7377363815904,5311.223678290844,4510.966129601002,1031.3657112419605,980.0598490983248,10534.781031310558,123541.01985692978,8105.434477329254,5201.7392590641975,4071.8726813793182,131.34052278473973,230.24232359603047,181.3025155570358,73.03088204935193,290.5933652073145,944.2741284146905,99.76384171750396,553.1079950742424,223.7051958218217,149.40366963855922,463.15896906889975,278.41050177812576,3341.117175295949
frame_19,31542.62527823448,11245.45931816101,1918.1754905730486,2370.4655468463898,1093.649072572589,5937.736015766859,9362.630546092987,4562.435671687126,110076.6509771347,780.9329545125365,75.41367813246325,3188.2876064628363,33918.965607881546,16758.715733885765,4209.423903375864,1126.7764493823051,528.6575760692358,17571.07302546501,1416.943734511733,678.2249547541142,22712.815552949905,989.8336138576269,202.53710681572556,115851.7450094223,3214.652184396982,1135.741826146841,536.1961666494608,113297.43266105652,640.4886371456087,1262.0053021237254,12291.640043258667,113959.8935842514,284.25027267076075,118213.15437555313,8737.403899431229,424.54476351849735,3265.7706178724766,15339.863486588001,1266.158651560545,295.5493109766394,78607.88702964783,107248.38078022003,1363.8881500810385,3316.88579171896,15216.376632452011,75.02979133278131,11.342759535182267,46.20456456905231,18.46098712121602,239.454151596874,471.8481795862317,31.57745595672168,93.26696454081684,31.923795177135617,12.684904504567385,203.08236707933247,194.67168021947145,532.1300704963505
