,startoftext,person</w>,person</w>,share</w>,kisses</w>,endoftext
frame_32,739700.436592102,495328.00912857056,523952.1265029907,569032.4306488037,624757.1706771851,689362.8835678101
frame_33,769925.9519577026,524001.3003349304,534325.0632286072,546382.6060295105,597261.9652748108,670236.2298965454
frame_34,732383.2511901855,524465.024471283,555033.0281257629,592620.0151443481,541455.3880691528,696176.290512085
frame_35,761137.7239227295,506364.8819923401,534782.350063324,550720.0956344604,548814.8927688599,740313.1723403931
frame_36,718326.4493942261,506277.859210968,544892.5495147705,520900.6071090698,561230.3018569946,790505.2900314331
frame_37,816421.1511611938,490350.6934642792,493691.65301322937,500953.91273498535,563375.3538131714,777340.292930603
frame_38,799405.9324264526,479615.2710914612,514956.0570716858,515155.1365852356,537875.4734992981,795125.2460479736
frame_39,786801.9342422485,507407.0692062378,502551.794052124,490966.8564796448,607201.1590003967,747204.1845321655
frame_40,744724.3928909302,510659.69467163086,516841.23277664185,519970.77465057373,620950.1624107361,728986.7401123047
frame_41,780153.751373291,524676.5613555908,519966.0658836365,524828.0763626099,572534.8591804504,719973.6833572388
frame_42,761155.2476882935,516361.7730140686,554515.0637626648,518386.72161102295,560679.4357299805,731034.8749160767
frame_43,784627.6760101318,497836.4109992981,550962.7461433411,564175.2481460571,555091.0830497742,689439.8927688599
frame_44,761435.6279373169,506532.78827667236,521416.7833328247,504448.7714767456,590808.2723617554,757490.873336792
frame_45,787820.8160400391,478978.5444736481,497838.7951850891,526010.1556777954,593436.2411499023,758048.4747886658
frame_46,690238.5354042053,500347.7334976196,547840.416431427,513900.10118484497,554973.304271698,834832.9663276672
frame_47,810108.7212562561,528323.769569397,549654.2453765869,517807.66248703003,531998.9919662476,704239.6068572998
frame_48,805790.6627655029,529352.0092964172,539713.442325592,523869.45486068726,558282.732963562,685124.6953010559
frame_49,765966.1173820496,505056.9176673889,543291.5091514587,527091.9799804688,569699.3470191956,731027.2455215454
frame_50,683861.6132736206,482704.2818069458,551749.050617218,511394.6199417114,635285.496711731,777137.8755569458
frame_51,774914.5030975342,516406.17847442627,494653.3143520355,549355.5665016174,639010.5485916138,667792.9759025574
frame_52,779615.7002449036,471721.1723327637,493831.18748664856,529844.1052436829,641990.1847839355,725130.6772232056
frame_53,725130.9156417847,493516.5345668793,506811.38038635254,543964.2667770386,570391.9529914856,802317.9769515991
frame_54,721579.0748596191,544032.5736999512,549712.1810913086,494692.92163848877,565317.2731399536,766798.9730834961
frame_55,725094.9144363403,479961.5144729614,492906.03399276733,543305.3970336914,654313.5643005371,746551.6328811646
frame_56,777470.2310562134,497853.6367416382,530789.3753051758,524681.9257736206,561817.8844451904,749520.0634002686
frame_57,729427.2780418396,515670.9551811218,531687.2000694275,511549.8900413513,591645.8368301392,762151.837348938
frame_58,717467.7848815918,493713.4385108948,518766.4031982422,534186.2440109253,568684.6971511841,809314.489364624
frame_59,781570.0769424438,511231.4224243164,534575.7007598877,506385.862827301,569686.8300437927,738683.1045150757
frame_60,783858.0012321472,503026.00860595703,522135.79416275024,543211.817741394,571829.9150466919,718071.460723877
frame_61,731770.0386047363,503909.6474647522,523708.3435058594,501493.57318878174,580736.1602783203,800515.1748657227
frame_62,762308.2399368286,486938.7149810791,531673.6698150635,503571.0334777832,664584.8155021667,693056.583404541
frame_63,782086.0147476196,500322.69954681396,513237.71476745605,532926.9170761108,581651.9260406494,731907.7253341675
frame_64,747341.0367965698,537037.7898216248,585737.407207489,557010.8294487,553775.6085395813,661230.4449081421
frame_65,802105.3671836853,501823.0676651001,549041.1520004272,511271.53635025024,592190.8020973206,685701.1318206787
frame_66,745418.3101654053,526610.5532646179,560316.2050247192,518646.7170715332,562749.1474151611,728392.1241760254
frame_67,768825.888633728,482721.5373516083,545590.2218818665,513838.529586792,664310.9917640686,666845.8580970764
frame_68,705009.8776817322,548830.1515579224,569701.7908096313,517253.041267395,525311.291217804,776026.9045829773
frame_69,742443.2039260864,509907.066822052,553513.0500793457,541652.0237922668,576577.2461891174,718040.5855178833
frame_70,721009.7908973694,492316.24603271484,529465.37733078,551743.6265945435,611695.0511932373,735903.0246734619
frame_71,704164.0281677246,487271.4877128601,515185.9521865845,527505.9342384338,694056.5705299377,713949.0842819214
frame_72,770162.9996299744,534594.7742462158,540601.909160614,505642.1756744385,538335.2637290955,752795.9942817688
frame_73,827071.3090896606,482198.8046169281,523776.0543823242,509937.7632141113,591229.4387817383,707919.716835022
frame_74,735918.1046485901,525064.0511512756,576691.0910606384,537804.1863441467,576089.8590087891,690565.7052993774
frame_75,763766.348361969,498186.94591522217,510317.74282455444,575798.749923706,578525.6624221802,715537.5480651855
frame_76,742596.1494445801,500387.90702819824,552136.7788314819,502443.25399398804,627035.0217819214,717534.0056419373
frame_77,735979.3782234192,527199.0299224854,577875.1373291016,544528.1863212585,543300.5094528198,713250.8754730225
frame_78,803486.5856170654,513066.76864624023,543737.4114990234,503144.38343048096,588791.4896011353,689906.4779281616
frame_79,775367.9752349854,489096.2541103363,505427.8373718262,508450.448513031,616249.2036819458,747541.3084030151
frame_80,778789.1626358032,495518.62478256226,524723.0529785156,532914.9961471558,592551.8274307251,717635.3931427002
frame_81,764563.5604858398,497896.4924812317,505721.3306427002,517772.4361419678,586236.9537353516,769942.2836303711
frame_82,730499.267578125,505720.5557823181,548400.4020690918,513254.46367263794,610095.0837135315,734163.2843017578
frame_83,757312.2978210449,478008.6874961853,522165.29846191406,535088.0026817322,565935.2540969849,783623.5165596008
frame_84,800624.1321563721,485775.26211738586,546576.0231018066,528917.0742034912,575017.5714492798,705222.9642868042
frame_85,792603.3735275269,519208.78887176514,545977.2348403931,498983.56199264526,565777.0037651062,719583.0345153809
frame_86,711097.002029419,526985.6452941895,558990.1208877563,592586.1597061157,583677.6494979858,668796.3604927063
frame_87,777002.0961761475,481421.1130142212,513139.7843360901,567283.2727432251,570149.5409011841,733137.2499465942
frame_88,787695.8847045898,484478.1160354614,532474.160194397,538143.3963775635,581514.8949623108,717826.7240524292
frame_89,737900.3763198853,505997.9557991028,546840.5485153198,571555.9720993042,562715.4111862183,717122.7931976318
frame_90,784170.6871986389,526350.3789901733,553767.204284668,542287.5881195068,545875.7877349854,689681.4107894897
frame_91,753179.5501708984,507189.63146209717,526796.281337738,503454.44679260254,643068.0155754089,708445.1913833618
frame_92,809702.2771835327,568693.9358711243,594208.1212997437,578153.1929969788,617973.804473877,878382.6231956482
frame_93,800991.0583496094,529211.7595672607,515314.10217285156,577769.6371078491,509866.1780357361,708980.3218841553
frame_94,792712.4500274658,516048.8486289978,554314.6133422852,527362.3466491699,535555.3030967712,716139.4357681274
frame_95,769125.9384155273,524188.6377334595,519060.4329109192,630145.5497741699,537545.919418335,729177.4153709412
frame_96,777498.4836578369,497303.15804481506,501408.9345932007,524833.3215713501,560986.8764877319,780102.2529602051
frame_97,695003.1518936157,533988.4757995605,507023.4537124634,502413.0344390869,498015.0759220123,905689.9547576904
frame_98,734243.5717582703,503453.73153686523,510874.80783462524,492274.2247581482,573476.0165214539,827810.7643127441
frame_99,781570.553779602,515665.1735305786,543002.9630661011,521928.5488128662,555327.296257019,724638.4620666504
frame_100,751083.9700698853,532860.8751296997,602935.9102249146,498367.0711517334,555063.1284713745,701822.04246521
frame_101,803258.4190368652,497555.31549453735,530197.79920578,534729.3615341187,598527.0738601685,677865.1475906372
frame_102,698086.6193771362,524325.4899978638,530854.344367981,495374.08351898193,619773.7455368042,773718.8339233398
frame_103,817161.9176864624,518527.8058052063,571811.4376068115,496812.8204345703,542850.5539894104,694968.5215950012
frame_104,681626.02186203,498001.8436908722,526045.7992553711,525178.5516738892,641853.8093566895,769427.0610809326
frame_105,800908.6847305298,494660.9437465668,505983.47187042236,524898.9462852478,612903.8333892822,702777.1472930908
frame_106,716526.0314941406,485537.2905731201,565473.9737510681,509773.3736038208,650349.6170043945,714472.770690918
frame_107,733258.2473754883,541549.1461753845,604792.2968864441,516937.0174407959,571882.963180542,673713.3264541626
frame_108,740662.0979309082,500225.0075340271,545483.8871955872,525118.1721687317,590451.4193534851,740192.4729347229
frame_109,749613.4042739868,521091.2227630615,526395.2016830444,487704.7836780548,583861.1125946045,773467.3023223877
frame_110,747655.2724838257,496975.6007194519,533998.7874031067,528415.4415130615,661899.6262550354,673188.328742981
frame_111,744327.187538147,542196.7506408691,551221.0726737976,539647.8772163391,517912.3878479004,746827.7215957642
frame_112,755656.2423706055,518274.2476463318,538643.7177658081,518734.2166900635,550715.2080535889,760109.4245910645
frame_113,753736.7343902588,493298.6795902252,526442.8853988647,529602.1103858948,572187.066078186,766865.4918670654
frame_114,643209.2785835266,509389.2812728882,544164.3595695496,496494.6210384369,655355.4534912109,793520.0929641724
frame_115,767526.8650054932,503200.6502151489,560970.3660011292,532661.1995697021,564789.7720336914,712984.2042922974
frame_116,771151.4234542847,519958.7345123291,516084.55181121826,554522.0971107483,565563.2019042969,714853.048324585
frame_117,721642.792224884,481194.1385269165,506576.9553184509,514608.2639694214,630690.2766227722,787420.6304550171
frame_118,787647.2473144531,503885.09035110474,512955.6655883789,505292.05799102783,571538.3291244507,760814.6667480469
frame_119,782120.5854415894,495067.89445877075,560406.0888290405,517451.34592056274,581229.0906906128,705857.9921722412
frame_120,701475.3818511963,498914.12258148193,545114.8152351379,552551.9847869873,576173.0670928955,767903.6855697632
frame_121,758508.026599884,504976.86862945557,514082.3721885681,522983.6106300354,614974.9755859375,726607.084274292
frame_122,704933.0472946167,517377.97260284424,564939.1412734985,512237.548828125,650192.379951477,692452.9075622559
frame_123,654679.0599822998,542572.6771354675,573672.8310585022,539983.9878082275,565069.0793991089,766155.481338501
frame_124,761963.4866714478,498049.7360229492,542729.914188385,528381.6456794739,516795.3372001648,794212.9373550415
frame_125,738656.6400527954,481336.3254070282,511342.1678543091,502209.0673446655,657736.3014221191,750852.5848388672
frame_126,741083.7411880493,521778.04708480835,549523.8304138184,529020.9054946899,503403.78284454346,797322.7500915527
frame_127,767194.7479248047,517711.877822876,505272.86529541016,544724.0471839905,568008.8400840759,739220.7384109497
frame_128,698577.880859375,504091.2628173828,528748.2738494873,527590.2152061462,617736.1011505127,765389.3232345581
frame_129,812794.4469451904,512873.88801574707,522850.75187683105,529635.0121498108,567646.9802856445,696331.8586349487
frame_130,773774.8622894287,490859.7469329834,571123.4211921692,502089.262008667,594254.6129226685,710031.1517715454
frame_131,718146.6817855835,533667.5643920898,541866.3024902344,510537.5051498413,572821.4383125305,765093.5649871826
frame_132,708618.1044578552,498452.3057937622,519966.12548828125,494335.20436286926,518861.88983917236,901899.4569778442
