,startoftext,person</w>,person</w>,share</w>,kisses</w>,endoftext
frame_22,624299.4070053101,594113.1114959717,573200.4642486572,607422.8882789612,618705.0342559814,624392.1518325806
frame_23,701259.6130371094,560703.3371925354,532466.2923812866,607966.7210578918,572483.7779998779,667253.1962394714
frame_24,639840.4836654663,593362.7486228943,528061.3899230957,576683.2828521729,724712.1334075928,579473.0186462402
frame_25,614010.0359916687,603795.051574707,513227.52237319946,538405.0607681274,634159.0285301208,738536.2386703491
frame_26,636059.5226287842,648547.7685928345,568002.2239685059,642452.9552459717,585951.2090682983,561119.2584037781
frame_27,591341.1974906921,572970.2711105347,511784.31510925293,544507.5035095215,606138.9446258545,815390.7656669617
frame_28,621106.1477661133,573486.0301017761,599172.4729537964,588886.6186141968,591679.0962219238,667802.6914596558
frame_29,613472.9981422424,542787.2538566589,551748.0969429016,536153.0184745789,760404.2291641235,637567.4605369568
frame_30,669682.3239326477,550036.1323356628,606402.6951789856,626875.1621246338,561168.0150032043,627968.7285423279
frame_31,621146.6789245605,566939.3539428711,524768.8293457031,536667.0489311218,598090.2314186096,794520.8549499512
frame_32,658033.6689949036,577334.0463638306,535612.3447418213,529505.6104660034,645683.4077835083,695963.978767395
frame_33,646715.0449752808,601288.6762619019,539206.6240310669,542437.4341964722,674926.8770217896,637558.3410263062
frame_34,628622.4126815796,589166.1643981934,574029.266834259,609968.5430526733,634393.9304351807,605952.6801109314
frame_35,685025.3939628601,580741.6439056396,527873.3372688293,558924.13854599,581841.7072296143,707726.8362045288
frame_36,618832.4093818665,574015.6173706055,558335.6022834778,606421.3514328003,687502.920627594,597025.1560211182
frame_37,647791.2664413452,549985.5279922485,564382.6723098755,627463.8772010803,576567.2922134399,675942.4209594727
frame_38,589833.6172103882,598709.3448638916,599860.7873916626,589062.4523162842,556255.6982040405,708411.0975265503
frame_39,687330.8420181274,561259.4485282898,514117.36011505127,585028.1715393066,611108.8395118713,683288.3358001709
frame_40,709200.2630233765,551213.8605117798,590400.5765914917,576715.6481742859,553691.2083625793,660911.4408493042
frame_41,627197.0868110657,582113.3852005005,584443.0327415466,606833.5175514221,659493.2079315186,582052.8864860535
frame_42,627891.3021087646,567964.6730422974,555228.2929420471,592893.3620452881,651332.3783874512,646823.0485916138
frame_43,642247.5576400757,634651.3032913208,524508.1186294556,561917.6626205444,667094.6478843689,611713.8266563416
frame_44,667685.9855651855,578630.6858062744,577512.9795074463,561856.5082550049,593916.2969589233,662530.6606292725
frame_45,668200.5524635315,590372.0855712891,556866.5266036987,584473.2522964478,629949.4504928589,612271.1896896362
frame_46,611632.4067115784,611928.8206100464,582058.3701133728,626997.2324371338,615613.2817268372,593902.8859138489
frame_47,669772.5057601929,629479.2890548706,532058.3581924438,581443.3097839355,637280.4045677185,592099.1897583008
frame_48,709558.6061477661,561169.3263053894,543785.0952148438,554796.0996627808,601814.0912055969,671009.7789764404
frame_49,601299.1666793823,590810.5373382568,541176.5575408936,610730.2904129028,630132.9135894775,667983.6511611938
frame_50,653723.7167358398,577945.5900192261,576798.6178398132,571832.3588371277,679463.6845588684,582369.0295219421
frame_51,684287.428855896,593458.9505195618,551984.8465919495,610125.0648498535,597050.666809082,605226.1590957642
frame_52,672031.4621925354,533043.8017845154,546532.3328971863,576992.5117492676,654326.2600898743,659206.5691947937
frame_53,648553.6098480225,595111.5489006042,553291.8572425842,591771.9006538391,586827.2185325623,666576.9219398499
frame_54,635294.7950363159,616486.1917495728,549926.1021614075,617573.7380981445,626549.9591827393,596302.2708892822
frame_55,635434.3891143799,531695.9619522095,542544.5437431335,545189.7382736206,725709.3191146851,661559.1049194336
frame_56,639357.2092056274,548474.3118286133,543421.3876724243,541622.2214698792,650416.1357879639,718841.7911529541
frame_57,671429.5744895935,553955.1377296448,570567.9655075073,554079.2346000671,673652.7681350708,618448.3766555786
frame_58,589617.0139312744,579386.2342834473,572359.9195480347,595374.345779419,620676.1598587036,684719.3241119385
frame_59,681241.9295310974,575733.9000701904,561343.6698913574,582390.546798706,626047.4324226379,615375.6380081177
frame_60,700774.7888565063,574824.0351676941,529962.0628356934,575933.8736534119,619350.016117096,641288.2804870605
frame_61,645773.4704017639,565789.5803451538,581786.6921424866,571600.4967689514,586825.3707885742,690357.4466705322
frame_62,670152.6045799255,533320.1289176941,510223.2098579407,499526.88813209534,836802.3633956909,592107.892036438
frame_63,589888.334274292,580995.9173202515,567280.5309295654,532798.5286712646,635761.6186141968,735408.0677032471
frame_64,637285.4709625244,567510.0684165955,553521.8715667725,592413.4850502014,654135.6444358826,637266.5166854858
frame_65,614911.8542671204,579574.3465423584,543302.595615387,591469.4666862488,678437.0541572571,634437.7398490906
frame_66,685762.5246047974,589103.5795211792,540657.2222709656,552697.2413063049,607223.9875793457,666688.5018348694
frame_67,649486.780166626,609977.7221679688,570194.2443847656,559359.3716621399,640688.5385513306,612426.4001846313
