,startoftext,watch</w>,moment</w>,person</w>,sm,acks</w>,person</w>,endoftext
frame_27,150235.5933189392,122055.96268177032,113957.06981420517,112524.94901418686,116358.71231555939,120648.5778093338,119014.62823152542,145204.51426506042
frame_28,138433.12859535217,117262.53479719162,113477.52064466476,114153.8918018341,117783.62095355988,123787.2838973999,119785.07786989212,155316.94889068604
frame_29,144241.13929271698,122026.42112970352,112576.64114236832,113278.74660491943,116871.81890010834,120989.41951990128,119833.29802751541,150182.45577812195
frame_30,140022.29273319244,116587.67610788345,114017.35246181488,113476.79793834686,115721.40455245972,120366.6552901268,119721.4126586914,160086.39335632324
frame_31,137507.0959329605,118370.78630924225,113063.5142326355,113656.1632156372,116342.03046560287,125080.60038089752,117978.01405191422,158001.8550157547
frame_32,143385.6189250946,117410.15315055847,112908.30373764038,112427.63698101044,117011.95687055588,119672.28353023529,119415.26085138321,157768.78595352173
frame_33,133832.79740810394,116866.49173498154,113542.02032089233,113450.73580741882,114934.39227342606,120336.68160438538,118673.3990907669,168363.46685886383
frame_34,158303.81214618683,118714.30277824402,113487.48952150345,112897.3439335823,115955.24102449417,120183.49021673203,115748.78543615341,144709.4827890396
frame_35,136468.66381168365,114754.69172000885,112950.4069685936,114248.01498651505,117423.85476827621,126176.52118206024,118830.38282394409,159147.41158485413
frame_36,137278.09488773346,122136.01917028427,114389.10663127899,114844.03163194656,118304.96788024902,122175.03041028976,121608.22749137878,149264.51444625854
frame_37,136307.35874176025,118307.47872591019,114890.52325487137,114628.76945734024,116424.3072271347,128330.46913146973,119580.7158946991,151530.4148197174
frame_38,142847.37408161163,116104.92318868637,112631.59662485123,112632.3714852333,115315.32555818558,119926.84006690979,116919.28654909134,163622.28989601135
frame_39,145444.3335533142,117582.2988152504,114087.01539039612,115636.98202371597,118086.37529611588,122319.73558664322,119312.8228187561,147530.4216146469
frame_40,145721.55475616455,125122.36833572388,114276.78167819977,112771.46637439728,116501.24937295914,119593.35207939148,119794.62951421738,146218.64259243011
frame_41,143120.36335468292,118830.97887039185,114268.54878664017,113018.4680223465,116420.9321141243,123619.22115087509,118687.07835674286,152034.4316959381
frame_42,148027.4349451065,116105.46708106995,113092.89187192917,112989.30644989014,115248.72481822968,118622.94375896454,123804.9790263176,152108.20734500885
frame_43,137184.36658382416,121983.17795991898,112882.07024335861,114589.22922611237,117634.29641723633,123870.30571699142,117366.82057380676,154489.75563049316
frame_44,143022.96936511993,117775.76059103012,113499.03792142868,113169.3497300148,115361.288189888,123914.77823257446,117841.16178750992,155415.6392812729
frame_45,137687.60859966278,114528.26857566833,113669.46995258331,113955.14756441116,120054.64732646942,120890.25229215622,116686.92529201508,162527.6654958725
frame_46,133885.01107692719,118277.74345874786,114322.79646396637,114661.12732887268,117598.48892688751,126009.31525230408,122998.75915050507,152246.78814411163
frame_47,145209.52105522156,118691.8318271637,113549.63481426239,113655.99930286407,119025.95311403275,123969.78586912155,121712.14073896408,144185.08112430573
frame_48,136595.33858299255,123969.85292434692,114724.38275814056,115935.22876501083,117072.55244255066,120700.12092590332,120651.7294049263,150350.77929496765
frame_49,142992.69020557404,117403.87976169586,112191.43867492676,113081.4328789711,116448.81963729858,118867.85924434662,117849.01469945908,161164.790391922
frame_50,138112.42580413818,115233.8758111,114323.25094938278,115916.57251119614,118385.10632514954,121420.92734575272,119059.9650144577,157547.87623882294
frame_51,137309.55123901367,121261.44766807556,114482.0898771286,115195.81079483032,117574.43845272064,121197.87931442261,118299.51405525208,154679.2834997177
frame_52,139886.2898349762,119374.65518712997,115454.68121767044,115030.60907125473,119546.14520072937,125570.148229599,120234.75021123886,144902.70614624023
frame_53,137769.38617229462,120376.72847509384,112481.34821653366,113344.27446126938,119358.99406671524,121690.5266046524,118473.42550754547,156505.34629821777
frame_54,137189.6117925644,117905.40814399719,114136.06256246567,114656.41856193542,120613.30676078796,127147.04871177673,118364.31920528412,149987.80190944672
frame_55,144774.49655532837,118703.31317186356,113445.62470912933,114186.74886226654,118766.53134822845,120225.82441568375,118675.64171552658,151221.79687023163
frame_56,136392.35496520996,116027.63086557388,112779.70671653748,112868.65919828415,117092.71371364594,122476.10092163086,119982.15317726135,162380.650639534
frame_57,145500.95796585083,118778.86205911636,112079.9332857132,112530.59655427933,114994.81648206711,118709.68341827393,118481.86701536179,158923.29812049866
frame_58,142587.12530136108,117360.35346984863,113677.9934167862,114511.53457164764,117271.28177881241,119071.6028213501,117976.18120908737,157543.91252994537
frame_59,137156.73983097076,120163.96224498749,113678.99924516678,113661.07314825058,116597.51832485199,122784.02596712112,119578.62973213196,156379.0738582611
frame_60,134603.30665111542,119733.89238119125,114829.05596494675,117474.88379478455,116949.55080747604,122076.95096731186,119899.90621805191,154432.38615989685
frame_61,129703.49192619324,118748.76171350479,114443.13824176788,114172.27238416672,118189.64779376984,123161.89706325531,119421.05740308762,162159.71112251282
frame_62,143534.71994400024,117540.24028778076,112310.23073196411,112624.3844628334,116119.10909414291,119514.599442482,115510.29235124588,162846.4162349701
frame_63,150177.12116241455,120692.97581911087,112959.78724956512,113431.60271644592,114415.90636968613,117978.51324081421,118462.73392438889,151881.33716583252
frame_64,138573.21441173553,119015.04546403885,114541.05377197266,113508.71622562408,118283.50275754929,120658.36787223816,116327.79985666275,159092.38159656525
frame_65,149416.4615869522,125901.93748474121,113622.19601869583,113243.40850114822,118391.34246110916,124787.39768266678,118766.73996448517,135870.5461025238
frame_66,146180.45091629028,115465.48455953598,112988.33042383194,114340.81941843033,117227.29355096817,120165.3704047203,117165.75920581818,156466.4989709854
frame_67,147185.3405237198,118527.00263261795,113228.75320911407,113591.2537574768,117120.72789669037,120522.8939652443,119922.18345403671,149901.8371105194
frame_68,147571.39980793,116448.32044839859,113604.05385494232,112744.94230747223,115321.10720872879,121156.81171417236,118969.8651432991,154183.5218667984
frame_69,146348.80423545837,117856.36842250824,114600.15922784805,113582.35031366348,116214.3126130104,120032.49675035477,117479.97254133224,153885.55824756622
frame_70,137985.79573631287,122074.23150539398,115407.3178768158,113069.58645582199,118194.37891244888,123049.3038892746,119964.78587388992,150254.68170642853
